type_name,weakness
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Psychic', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Water'],"{'type': 'Lightning', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Fighting'],"{'type': 'Water', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Fire'],"{'type': 'Water', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Psychic', 'value': '×2'}"
['Metal'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Psychic'],"{'type': 'Psychic', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Colorless'],"{'type': 'Fighting', 'value': '×2'}"
['Grass'],"{'type': 'Fire', 'value': '×2'}"
['Water'],"{'type': 'Grass', 'value': '×2'}"
['Fighting'],"{'type': 'Grass', 'value': '×2'}"
['Lightning'],"{'type': 'Fighting', 'value': '×2'}"
